"Title","Company","City","State","Zipcode","PostedDateText","PostedDate","Job Type","Year Founded","Company Size","Website","Job Link"
"Materials Scientist / Inorganic Chemist","EP Minerals, a U.S. Silica Company","Austin","TX","73301","+30 days ago","2019-09-23T12:00","","","","","https://job-openings.monster.com/materials-scientist-inorganic-chemist-austin-tx-us-ep-minerals-a-u-s-silica-company/07bd6f04-b94b-4c1e-a6d5-6ae160655a52"
"Content Engagement Strategist","SXSW","Austin","TX","78768","+30 days ago","2019-06-27T12:00","","","","","https://job-openings.monster.com/content-engagement-strategist-austin-tx-us-sxsw/0b0a3c7f-0b64-4a8d-a9ee-043ca4c948f6"
"Online EA Brand Merchant","APN Software Services Inc.","Round Rock","TX","","+30 days ago","2020-02-20T12:00","","","","","https://job-openings.monster.com/online-ea-brand-merchant-round-rock-tx-us-apn-software-services-inc/fff0ffa5-fd35-44ce-ae15-a92323bb7f52"
"Content Manager - Corporate","Pathfinder Development","Austin","TX","","Posted today","2020-04-30T12:00","","","","","https://job-openings.monster.com/content-manager-corporate-austin-tx-us-pathfinder-development/2100acdb-15b3-41a9-bba1-ed37303972a9"
"Associate Director of Content","Amy Myers MD","Austin","TX","78738","3 days ago","2020-04-27T12:00","","","","","https://job-openings.monster.com/associate-director-of-content-austin-tx-us-amy-myers-md/28745f96-4513-4835-9db7-7727139b6b4c"
"Market Development Representative - Spanish Bilingual","BigCommerce","Austin","TX","","8 days ago","2020-04-22T12:00","","","","","https://job-openings.monster.com/market-development-representative-spanish-bilingual-austin-tx-us-bigcommerce/5c02f05a-51ee-4d68-9804-a47d9afb0c8d"
"Marketing Copywriter","Idera, Inc.","Austin","TX","78759","+30 days ago","2020-03-05T12:00","","","","","https://job-openings.monster.com/marketing-copywriter-austin-tx-us-idera-inc/7466bc6f-cdd1-4b86-b4ef-d2e5536af5ac"
"Information Developer/Technical Writer","IBM","Austin","TX","","+30 days ago","2020-02-19T12:00","","1911","10,000 employees or more","http://www-03.ibm.com/employment/us/","https://job-openings.monster.com/information-developer-technical-writer-austin-tx-us-ibm/9a65c526-194c-4a75-945c-7635ead82505"
"Videographer / Motion Graphic Artist","Geek Powered Studios","Austin","TX","78744","+30 days ago","2020-02-11T12:00","","","","","https://job-openings.monster.com/videographer-motion-graphic-artist-austin-tx-us-geek-powered-studios/c2f25220-3369-44f9-96eb-3e76fc687496"
"Digital Marketing Specialist","Four Hands","Austin","TX","78744","+30 days ago","2020-02-11T12:00","","","","","https://job-openings.monster.com/digital-marketing-specialist-austin-tx-us-four-hands/b672c48a-7a20-4f89-8671-410720083fc4"
"Software Engineer","TalentBurst, Inc","Austin","TX","","+30 days ago","2019-09-27T12:00","","2002","1,500 to 1,999 employees","http://www.talentburst.com/","https://job-openings.monster.com/software-engineer-austin-tx-us-talentburst-inc/e2837a0e-5c7d-4011-802e-9a5f3da91499"
"Software Engineer","LanceSoft Inc","Austin","TX","78744","+30 days ago","2019-09-05T12:00","","2000","2,000 to 2,499 employees","http://www.lancesoft.com/","https://job-openings.monster.com/software-engineer-austin-tx-us-lancesoft-inc/da71b94b-6d08-4264-a8de-57515cef6c92"
