"Title","Company","City","State","Zipcode","PostedDateText","Remote","Job Shelf","Job Type","Job Link"
"Paid Social Media Specialist","Finish Line","","","","30+ days ago","","","","https://www.indeed.com/rc/clk?jk=8c9392e341592a88&fccid=fc49ba29ac1ff036&vjs=3"
"Affiliate Manager","Diablo Media","","","","30+ days ago","","Easily apply","","https://www.indeed.com/rc/clk?jk=170789dab136f3bc&fccid=2227604c396a9afb&vjs=3"
"VP Marketing","Propeller Aero","","","","30+ days ago","","Easily apply","","https://www.indeed.com/rc/clk?jk=904fa546df915ea7&fccid=d39a9207493e4e65&vjs=3"
"SEO Technical Strategist","The Motley Fool","","","","30+ days ago","Remote work available","","","https://www.indeed.com/rc/clk?jk=fb8752026a549a7a&fccid=62d0bf8f2d130eaa&vjs=3"
"SMB Commercial Sales Manager - Marketo","Adobe","","","","30+ days ago","","","","https://www.indeed.com/rc/clk?jk=1ff58a057076d13d&fccid=f89deb5a97c7738a&vjs=3"
"SEO Content Strategist","The Motley Fool","Lakewood","","","30+ days ago","","","","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BSIhjRqtu73IDVzuADxTnEYvD5ntLdzloXckXd-plnUH-H4ycJCWQoyQMV61PeuNpACAzLk38-9DjviRcD5GbSxUxO2KTPApxSiL4eMofRVQMPh2bjXgMNT4xe7zABAUGP7LAa9tsr_KGoXOs5w6ImD3LlRtKt_tuAjZAatmfeTUFGQROD9sSxODw8opJPIAH4eq9W1es9HhDB77V9uDpk6AvQSq1rVuzu4UwEbS3WTRZbAnd-9EHhEDYOxjop2HU4iSLdug3H52k5kwNhsi7in4h2YtSwGTLw6micjsa5mDStGxre0q6PJ4dMiTEDKoHM5HsezFIPZ6EFb1VTjkXywRySHfiz0T0AuNlhPBhNWE9TDGci9dKykr9v3ThU-mqGcZ9Y-p1YByCoDpGWLDFxjYJTL8UsVl_C6gBfEjRars5l9hksYvC-3FvIEB5rkpMEF5_y4RzSQ2tcVP2U1nhNTiC18tBecNesqVSkzNuj5fyH2iwIFdWX74Oq6uyz5pjp0P1ZXOOW_zOVamAzLP600GtpzBxjGOyv3VX3hbMWDQ5aK6N4J1z488x4d74lNK4N5vlG-8y_YQ==&p=10&fvj=0&vjs=3"
"Digital Products Sales Manager","MediaWorks Digital Marketing Services","Arvada","CO","80002","5 days ago","Remote work available","Easily apply, Responsive employer, Urgently hiring","Full-time","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ASY8fmWsAiVNgJ38--o5ScDZmxvOzvaKL-76jvrT2jGpFvXBe0VQEwOH2MlVrjdAAP-IgrziqLHE2-OORk__qj8RZlPsWhscI1iDLuA7MPOYupmumu2N8GP94HyNDgZQyl5uVzPJrdgdibqS2cHnDuEnSTSCy2pRw40QMh8sEDf5cQAULNOVRtUGjdHgoEYgER6qRmx9RbsbogKvdloTe1exC_5QbmpVsn2Lshc5PJ4jWhIOgawMN46UTymQ8dRU-ft9EYE4rWJCbh05A_IgeuMOYr_XX0GIURQEtSo7b91wzMQ9H7SvORMDLDkhjANPogiCcNLZcSAGITwOI2StckHM2yyhNFl4-EQZmUc9daGLvqV3Us2worsq-CJWRpUOpaXfyOSzN0tCDlLH97pa8kbP38iSS55zgK2ODj9H39q6_rDGPtwAaaFlyMdmA8AAMonqYvJrvlQzamtYtR9b9CRn2_3KUPQaY=&p=11&fvj=1&vjs=3"
"Director of Marketing","Well-established law firm","Denver","","","30+ days ago","","Easily apply","Full-time","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C0KqprOSDdtyTrDE33byr1MWgFF9ldmEJYchofO7_t3aKh9jdOq8sFdR-sOlOWfqlBpn7D05AoqvbFIT3how7FVvrr0zVGjjmpmrp72VqGzUIoTn8KnK67o-uXhWhUdcJhK-SLxxJQkByLt-39kSdhcJTDz4VgEnEtRWo2aaNk63scBcm6KU8SJ66nVLYpLMdMwdLOkCzAnTPijcYkALAUMuQLjVcezIxbChwseBMPGaDIPx8MtiAAPmf1YZfhREcTMTbT2MfVWotM8p6jKp-TwCyCGjgYgiIy3K8zyLTGtE0ArlDnHA7pp3e-kr-XC3fcsSzg_3tHHyONRr4s_5Hs_KRh8oosfovIHEWKkafL7EIdNMvtOhWeQ0QJh-WztZjYmKx9CNl-1YoeYP5fDyr7IR0SZijO7DH0cSKUgVXoFBYj5m4UiJPmUsea5sTMUrrw-1w4w6C41A==&p=12&fvj=1&vjs=3"
"Digital Merchandising & UX","The Electric Tobacconist, LLC","Boulder","CO","80301","21 days ago","","Easily apply, Responsive employer","Full-time","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DRsimkFAJKRY9UwIIaH6h9_RjdJB9jcmesPUDJ3oLoExsIRXxHiyQOWj2nzpKrmq1I63wNCbpyqzCqX9o07C-Awf3IIZnOSte4swNPSFx35tEXyljLekhwdvGXTUhzZPy0wWHnBzGhnWeGJollvHCbRS79lR5FOp-7MuBTNT4m_ZYe6HA2L8LrLkMIll9kim4JbP0C2ZrWki_0rHf0qhH9uYPEBdKFJeu1GeE2iXUCNfp61fgbj-IOtIPabgXfmsIF3PctE4cqnuUt7TTni7ZK__fOsC_Y2KK_LqEKJnehaO2St3iKi88kaZfomj6Xdr6V7LHh_N3Ol3F5L5SB-mPu1Bc-F_lslFw3eTcooBLlOY210B9o4gIXVaxPxE7FfezgAj61cQLijpWHXuhyGg2oKDyK3VtvbUU0JFyIl2dhYNaMMqzZ8jVm6VEfwyjO3IPEbzDROiAnYab2r5q_KB9DJd7kGfT2Iig=&p=13&fvj=1&vjs=3"
"Key Account Manager for SEO Digital Agency","Rankings.io","","","","4 days ago","Remote work available","Easily apply","Full-time","https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cw8AJ1Q9CBq9ES97FI1hWtWhM-Ft25MUGaKwgFBiTHCcj0RBXikuW52yTnit29cE-TEpiAVHCm0T7AxeJHSIAT8tVknV_Ez8R29A3fSEhhs8P9bdnezUnhMMk4GphKo4tEmjS-hm2alpCfN_7w0a-YYsTi6PDukDZGhQRuusvF-I0SFCTAO42HC3Gfb-UVXSUGG_nuWSJ83mqlqE1CXK1xXh7D9eDwSFTmN-fteXhK1or1QpNPv14OtaS8iYnA2awYOmWTzolIg5H3JaTB1rOIsiJTnhX1zgKX9uLopZ2-G81yZjfFhSJ8CcxEE4TM5-HG3T4GdMpmzS9lOoLakGBz6fIy48vWT2dL3qpAj2FClEwe-RJ2uGjEyJq9txXDbkBoTVvf77dCXxK0Rqk18xNRKfbAyy2MXCNAw7wWNKaBNlBlwZOn24vyhdXDWgF2EhGlWlEIrkEF_aN89gui7RxtRID5u-onMtc=&p=14&fvj=1&vjs=3"
